,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Year,Lower Confidence Interval,Upper Confidence Interval,Whisker.high,Whisker.low
194,Spain,Western Europe,37,6.361,,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,2016,6.288,6.434,,
195,Algeria,Middle East and Northern Africa,38,6.355,,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,2016,6.227,6.483,,
196,Guatemala,Latin America and Caribbean,39,6.324,,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,2016,6.213,6.435,,
197,Suriname,Latin America and Caribbean,40,6.269,,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,2016,6.073,6.465,,
198,Kuwait,Middle East and Northern Africa,41,6.239,,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,2016,6.154,6.324,,
199,Bahrain,Middle East and Northern Africa,42,6.218,,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,2016,6.128,6.308,,
200,Trinidad and Tobago,Latin America and Caribbean,43,6.168,,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,2016,5.95,6.386,,
201,Venezuela,Latin America and Caribbean,44,6.084,,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,2016,5.973,6.195,,
202,Slovakia,Central and Eastern Europe,45,6.078,,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,2016,5.996,6.16,,
203,El Salvador,Latin America and Caribbean,46,6.068,,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,2016,5.967,6.169,,
204,Malaysia,Southeastern Asia,47,6.005,,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,2016,5.921,6.089,,
205,Nicaragua,Latin America and Caribbean,48,5.992,,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,2016,5.877,6.107,,
206,Uzbekistan,Central and Eastern Europe,49,5.987,,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,2016,5.896,6.078,,
207,Italy,Western Europe,50,5.977,,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,2016,5.898,6.056,,
208,Ecuador,Latin America and Caribbean,51,5.976,,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,2016,5.88,6.072,,
209,Belize,Latin America and Caribbean,52,5.956,,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,2016,5.71,6.202,,
210,Japan,Eastern Asia,53,5.921,,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,2016,5.85,5.992,,
211,Kazakhstan,Central and Eastern Europe,54,5.919,,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,2016,5.837,6.001,,
212,Moldova,Central and Eastern Europe,55,5.897,,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,2016,5.823,5.971,,
213,Russia,Central and Eastern Europe,56,5.856,,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,2016,5.789,5.923,,
214,Poland,Central and Eastern Europe,57,5.835,,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,2016,5.749,5.921,,
215,South Korea,Eastern Asia,57,5.835,,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015,2016,5.747,5.923,,
216,Bolivia,Latin America and Caribbean,59,5.822,,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,2016,5.74,5.904,,
217,Lithuania,Central and Eastern Europe,60,5.813,,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,2016,5.734,5.892,,
218,Belarus,Central and Eastern Europe,61,5.802,,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,2016,5.723,5.881,,
219,North Cyprus,Western Europe,62,5.771,,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447,2016,5.67,5.872,,
220,Slovenia,Central and Eastern Europe,63,5.768,,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,2016,5.683,5.853,,
221,Peru,Latin America and Caribbean,64,5.743,,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,2016,5.647,5.839,,
222,Turkmenistan,Central and Eastern Europe,65,5.658,,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,2016,5.58,5.736,,
223,Mauritius,Sub-Saharan Africa,66,5.648,,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,2016,5.507,5.789,,
224,Libya,Middle East and Northern Africa,67,5.615,,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,2016,5.406,5.824,,
225,Latvia,Central and Eastern Europe,68,5.56,,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,2016,5.486,5.634,,
226,Cyprus,Western Europe,69,5.546,,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,2016,5.442,5.65,,
227,Paraguay,Latin America and Caribbean,70,5.538,,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,2016,5.453,5.623,,
228,Romania,Central and Eastern Europe,71,5.528,,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,2016,5.427,5.629,,
229,Estonia,Central and Eastern Europe,72,5.517,,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,2016,5.437,5.597,,
230,Jamaica,Latin America and Caribbean,73,5.51,,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,2016,5.315,5.705,,
231,Croatia,Central and Eastern Europe,74,5.488,,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,2016,5.402,5.574,,
232,Hong Kong,Eastern Asia,75,5.458,,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614,2016,5.362,5.554,,
233,Somalia,Sub-Saharan Africa,76,5.44,,0.0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,2016,5.321,5.559,,
234,Kosovo,Central and Eastern Europe,77,5.401,,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,2016,5.308,5.494,,
235,Turkey,Middle East and Northern Africa,78,5.389,,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,2016,5.295,5.483,,
236,Indonesia,Southeastern Asia,79,5.314,,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,2016,5.237,5.391,,
237,Jordan,Middle East and Northern Africa,80,5.303,,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,2016,5.187,5.419,,
238,Azerbaijan,Central and Eastern Europe,81,5.291,,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,2016,5.226,5.356,,
239,Philippines,Southeastern Asia,82,5.279,,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,2016,5.16,5.398,,
240,China,Eastern Asia,83,5.245,,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,2016,5.199,5.291,,
241,Bhutan,Southern Asia,84,5.196,,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,2016,5.138,5.254,,
242,Kyrgyzstan,Central and Eastern Europe,85,5.185,,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,2016,5.103,5.267,,
243,Serbia,Central and Eastern Europe,86,5.177,,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,2016,5.083,5.271,,
244,Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,,0.93383,0.64367,0.70766,0.09511,0.0,0.29889,2.48406,2016,5.063,5.263,,
245,Montenegro,Central and Eastern Europe,88,5.161,,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,2016,5.055,5.267,,
246,Dominican Republic,Latin America and Caribbean,89,5.155,,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,2016,5.037,5.273,,
247,Morocco,Middle East and Northern Africa,90,5.151,,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,2016,5.058,5.244,,
248,Hungary,Central and Eastern Europe,91,5.145,,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,2016,5.056,5.234,,
249,Pakistan,Southern Asia,92,5.132,,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,2016,5.038,5.226,,
250,Lebanon,Middle East and Northern Africa,93,5.129,,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,2016,5.031,5.227,,
251,Portugal,Western Europe,94,5.123,,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,2016,5.03,5.216,,
252,Macedonia,Central and Eastern Europe,95,5.121,,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,2016,5.017,5.225,,
253,Vietnam,Southeastern Asia,96,5.061,,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418,2016,4.991,5.131,,
254,Somaliland Region,Sub-Saharan Africa,97,5.057,,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2.43801,2016,4.934,5.18,,
255,Tunisia,Middle East and Northern Africa,98,5.045,,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,2016,4.965,5.125,,
256,Greece,Western Europe,99,5.033,,1.24886,0.75473,0.80029,0.05822,0.04127,0.0,2.12944,2016,4.935,5.131,,
257,Tajikistan,Central and Eastern Europe,100,4.996,,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,2016,4.923,5.069,,
258,Mongolia,Eastern Asia,101,4.907,,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,2016,4.838,4.976,,
259,Laos,Southeastern Asia,102,4.876,,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,2016,4.742,5.01,,
260,Nigeria,Sub-Saharan Africa,103,4.875,,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,2016,4.75,5.0,,
261,Honduras,Latin America and Caribbean,104,4.871,,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,2016,4.75,4.992,,
262,Iran,Middle East and Northern Africa,105,4.813,,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,2016,4.703,4.923,,
263,Zambia,Sub-Saharan Africa,106,4.795,,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,2016,4.645,4.945,,
264,Nepal,Southern Asia,107,4.793,,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,2016,4.698,4.888,,
265,Palestinian Territories,Middle East and Northern Africa,108,4.754,,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,2.40364,2016,4.649,4.859,,
266,Albania,Central and Eastern Europe,109,4.655,,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,2016,4.546,4.764,,
267,Bangladesh,Southern Asia,110,4.643,,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,2016,4.56,4.726,,
268,Sierra Leone,Sub-Saharan Africa,111,4.635,,0.36485,0.628,0.0,0.30685,0.08196,0.23897,3.01402,2016,4.505,4.765,,
269,Iraq,Middle East and Northern Africa,112,4.575,,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,2016,4.446,4.704,,
270,Namibia,Sub-Saharan Africa,113,4.574,,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,2016,4.374,4.774,,
271,Cameroon,Sub-Saharan Africa,114,4.513,,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,2016,4.417,4.609,,
272,Ethiopia,Sub-Saharan Africa,115,4.508,,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,2016,4.425,4.591,,
273,South Africa,Sub-Saharan Africa,116,4.459,,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,2016,4.371,4.547,,
274,Sri Lanka,Southern Asia,117,4.415,,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,2016,4.322,4.508,,
275,India,Southern Asia,118,4.404,,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,2016,4.351,4.457,,
276,Myanmar,Southeastern Asia,119,4.395,,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,2016,4.327,4.463,,
277,Egypt,Middle East and Northern Africa,120,4.362,,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,2016,4.259,4.465,,
278,Armenia,Central and Eastern Europe,121,4.36,,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,2016,4.266,4.454,,
279,Kenya,Sub-Saharan Africa,122,4.356,,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,2016,4.259,4.453,,
280,Ukraine,Central and Eastern Europe,123,4.324,,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,2016,4.236,4.412,,
281,Ghana,Sub-Saharan Africa,124,4.276,,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,2016,4.185,4.367,,
282,Congo (Kinshasa),Sub-Saharan Africa,125,4.272,,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924,2016,4.191,4.353,,
283,Georgia,Central and Eastern Europe,126,4.252,,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,2016,4.164,4.34,,
284,Congo (Brazzaville),Sub-Saharan Africa,127,4.236,,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681,2016,4.107,4.365,,
285,Senegal,Sub-Saharan Africa,128,4.219,,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,2016,4.151,4.287,,
286,Bulgaria,Central and Eastern Europe,129,4.217,,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,2016,4.104,4.33,,
287,Mauritania,Sub-Saharan Africa,130,4.201,,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,2016,4.127,4.275,,
288,Zimbabwe,Sub-Saharan Africa,131,4.193,,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,2016,4.101,4.285,,
289,Malawi,Sub-Saharan Africa,132,4.156,,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,2016,4.041,4.271,,
290,Sudan,Sub-Saharan Africa,133,4.139,,0.63069,0.81928,0.29759,0.0,0.10039,0.18077,2.10995,2016,3.928,4.35,,
291,Gabon,Sub-Saharan Africa,134,4.121,,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,2016,4.03,4.212,,
292,Mali,Sub-Saharan Africa,135,4.073,,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,2016,3.988,4.158,,
293,Haiti,Latin America and Caribbean,136,4.028,,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,2016,3.893,4.163,,
294,Botswana,Sub-Saharan Africa,137,3.974,,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,2016,3.875,4.073,,
295,Comoros,Sub-Saharan Africa,138,3.956,,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,2016,3.86,4.052,,
296,Ivory Coast,Sub-Saharan Africa,139,3.916,,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,2016,3.826,4.006,,
297,Cambodia,Southeastern Asia,140,3.907,,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,2016,3.798,4.016,,
298,Angola,Sub-Saharan Africa,141,3.866,,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,2016,3.753,3.979,,
299,Niger,Sub-Saharan Africa,142,3.856,,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,2016,3.781,3.931,,
300,South Sudan,Sub-Saharan Africa,143,3.832,,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,2016,3.596,4.068,,
301,Chad,Sub-Saharan Africa,144,3.763,,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,2016,3.672,3.854,,
302,Burkina Faso,Sub-Saharan Africa,145,3.739,,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,2016,3.647,3.831,,
303,Uganda,Sub-Saharan Africa,145,3.739,,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,2016,3.629,3.849,,
304,Yemen,Middle East and Northern Africa,147,3.724,,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,2016,3.621,3.827,,
305,Madagascar,Sub-Saharan Africa,148,3.695,,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,2016,3.621,3.769,,
306,Tanzania,Sub-Saharan Africa,149,3.666,,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,2016,3.561,3.771,,
307,Liberia,Sub-Saharan Africa,150,3.622,,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,2016,3.463,3.781,,
308,Guinea,Sub-Saharan Africa,151,3.607,,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,2016,3.533,3.681,,
309,Rwanda,Sub-Saharan Africa,152,3.515,,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,2016,3.444,3.586,,
310,Benin,Sub-Saharan Africa,153,3.484,,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,2016,3.404,3.564,,
311,Afghanistan,Southern Asia,154,3.36,,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,2016,3.288,3.432,,
312,Togo,Sub-Saharan Africa,155,3.303,,0.28123,0.0,0.24811,0.34678,0.11587,0.17517,2.1354,2016,3.192,3.414,,
313,Syria,Middle East and Northern Africa,156,3.069,,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,2016,2.936,3.202,,
314,Burundi,Sub-Saharan Africa,157,2.905,,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,2016,2.732,3.078,,
315,Norway,Western Europe,1,7.537000179,,1.616463184,1.53352356,0.796666503,0.6354225874,0.3159638345,0.3620122373,2.277026653,2017,,,7.594444821,7.479555538
316,Denmark,Western Europe,2,7.521999836,,1.482383013,1.551121593,0.7925655246,0.6260067225,0.4007700682,0.3552804887,2.313707352,2017,,,7.581728065,7.462271607
317,Iceland,Western Europe,3,7.504000187,,1.48063302,1.610574007,0.8335521221,0.6271626353,0.1535265595,0.4755402207,2.322715282,2017,,,7.622030473,7.385969901
318,Switzerland,Western Europe,4,7.493999958,,1.564979553,1.516911745,0.8581312895,0.6200705767,0.3670072854,0.2905492783,2.276716232,2017,,,7.56177242,7.426227496
319,Finland,Western Europe,5,7.468999863,,1.443571925,1.540246725,0.8091576695,0.6179508567,0.3826115429,0.2454827726,2.430181503,2017,,,7.527542076,7.41045765
320,Netherlands,Western Europe,6,7.376999855,,1.503944635,1.428939223,0.810696125,0.5853844881,0.2826618254,0.4704898298,2.294804096,2017,,,7.427425841,7.326573869
321,Canada,North America and ANZ,7,7.315999985,,1.479204416,1.481348991,0.8345576525,0.6111009121,0.2873715162,0.4355397224,2.187264442,2017,,,7.384402835,7.247597134
322,New Zealand,North America and ANZ,8,7.31400013,,1.405706048,1.548195124,0.8167597055,0.6140621305,0.3828167021,0.500005126,2.046456337,2017,,,7.379510442,7.248489818
323,Sweden,Western Europe,9,7.28399992,,1.494387269,1.478162169,0.8308751583,0.612924099,0.3843987286,0.3853992522,2.097537994,2017,,,7.344094877,7.223904962
324,Australia,North America and ANZ,10,7.28399992,,1.484414935,1.510041952,0.8438867927,0.6016073823,0.3011837304,0.47769925,2.065210819,2017,,,7.356651225,7.211348615
325,Israel,Middle East and North Africa,11,7.212999821,,1.375382423,1.376289964,0.8384039998,0.4059886038,0.08524210006,0.330082655,2.801757336,2017,,,7.279853256,7.146146385
326,Costa Rica,Latin America and Caribbean,12,7.078999996,,1.109706283,1.416403651,0.7595092654,0.58013165,0.1001065895,0.214613229,2.898639202,2017,,,7.168111666,6.989888326
327,Austria,Western Europe,13,7.006000042,,1.487097263,1.459944963,0.8153284192,0.5677661896,0.2210603654,0.3164723217,2.138506413,2017,,,7.070669812,6.941330272
328,United States,North America and ANZ,14,6.993000031,,1.546259284,1.419920564,0.7742866278,0.5057405233,0.1356387883,0.3925787807,2.218113422,2017,,,7.074656748,6.911343313
329,Ireland,Western Europe,15,6.977000237,,1.535706639,1.558231115,0.8097826242,0.573110342,0.2983881533,0.4278583229,1.773869038,2017,,,7.043351668,6.910648805
330,Germany,Western Europe,16,6.951000214,,1.487923384,1.472520351,0.7989507318,0.5625113845,0.2767319381,0.33626917,2.015769958,2017,,,7.005381569,6.896618858
331,Belgium,Western Europe,17,6.890999794,,1.463780761,1.462312698,0.8180918694,0.5397707224,0.2513431311,0.2315033376,2.124210358,2017,,,6.95582075,6.826178838
332,Luxembourg,Western Europe,18,6.862999916,,1.741943598,1.457583666,0.8450894952,0.5966278911,0.318834424,0.2831809819,1.619512081,2017,,,6.9236861,6.802313732
333,United Kingdom,Western Europe,19,6.714000225,,1.44163394,1.49646008,0.8053359389,0.5081900358,0.2654280663,0.4927741587,1.704143524,2017,,,6.783791761,6.644208689
334,Chile,Latin America and Caribbean,20,6.65199995,,1.25278461,1.284024954,0.8194797039,0.3768952787,0.08228798211,0.3266624212,2.509585857,2017,,,6.73925056,6.564749341
335,United Arab Emirates,Middle East and North Africa,21,6.647999763,,1.626343369,1.266410232,0.7267982364,0.6083452702,0.3244895637,0.3609419465,1.734703541,2017,,,6.722047304,6.573952223
336,Brazil,Latin America and Caribbean,22,6.635000229,,1.10735321,1.431306005,0.6165523529,0.4374537468,0.1110927612,0.1623498946,2.769267082,2017,,,6.725469502,6.544530956
337,Czech Republic,Central and Eastern Europe,23,6.609000206,,1.352682352,1.433885217,0.7544440031,0.4909461737,0.0368729271,0.08810675889,2.451861858,2017,,,6.683862463,6.534137949
338,Argentina,Latin America and Caribbean,24,6.598999977,,1.185295463,1.440451145,0.6951370835,0.4945192039,0.05973988771,0.1094570607,2.614005327,2017,,,6.690085086,6.507914868
339,Mexico,Latin America and Caribbean,25,6.578000069,,1.153183818,1.21086216,0.7099789977,0.4127300084,0.1327741146,0.1209904328,2.837154865,2017,,,6.671148908,6.48485123
340,Singapore,Southeast Asia,26,6.572000027,,1.69227767,1.353814363,0.9494923949,0.5498405695,0.464307785,0.3459659815,1.216362,2017,,,6.636723069,6.507276984
341,Malta,Western Europe,27,6.52699995,,1.343279839,1.488411665,0.8219442368,0.5887670517,0.1530660689,0.5747305751,1.556862831,2017,,,6.598396773,6.455603128
342,Uruguay,Latin America and Caribbean,28,6.453999996,,1.217559695,1.412227869,0.7192168236,0.5793922544,0.1780618727,0.1750969291,2.172409534,2017,,,6.545906218,6.362093775
343,Guatemala,Latin America and Caribbean,29,6.453999996,,0.872001946,1.255585194,0.5402399898,0.5313106179,0.07722327858,0.2834883928,2.893891096,2017,,,6.566873973,6.34112602
344,Panama,Latin America and Caribbean,30,6.452000141,,1.233748436,1.373192549,0.7061561346,0.550026834,0.07098392397,0.2105569392,2.307199955,2017,,,6.557130716,6.346869566
345,France,Western Europe,31,6.441999912,,1.430923462,1.387776852,0.8444658518,0.4702221155,0.1725024283,0.1297623068,2.005954742,2017,,,6.515767802,6.368232022
346,Thailand,Southeast Asia,32,6.423999786,,1.127868772,1.425792456,0.6472390294,0.5802007318,0.03161273524,0.5721231103,2.039508343,2017,,,6.509116856,6.338882717
347,Taiwan Province of China,East Asia,33,6.421999931,,1.433626533,1.384565353,0.7939842343,0.3614665866,0.06382923573,0.2583604753,2.126607418,2017,,,6.494596022,6.349403841
348,Spain,Western Europe,34,6.402999878,,1.384397864,1.532090902,0.8889605999,0.4087812304,0.07091409713,0.1901335716,1.92775774,2017,,,6.471054845,6.334944911
349,Qatar,Western Europe,35,6.375,,1.870765686,1.27429688,0.7100980878,0.6041309834,0.4392992556,0.33047387,1.14546442,2017,,,6.568476814,6.181523186
350,Colombia,Latin America and Caribbean,36,6.356999874,,1.070622325,1.402182937,0.5950279236,0.4774874151,0.04666874185,0.149014473,2.616068125,2017,,,6.452020054,6.261979694
351,Saudi Arabia,Middle East and North Africa,37,6.343999863,,1.530623555,1.286677599,0.5901483297,0.4497505724,0.2734322548,0.1476160139,2.065429688,2017,,,6.444166612,6.243833113
352,Trinidad and Tobago,Sub-Saharan Africa,38,6.168000221,,1.361355901,1.380228519,0.5199832916,0.518630743,0.008964816108,0.3252964616,2.053247452,2017,,,6.381533891,5.954466552
353,Kuwait,Middle East and North Africa,39,6.105000019,,1.632952452,1.259698749,0.6321057081,0.4963375926,0.2151595503,0.2282897979,1.640425205,2017,,,6.191956989,6.018043049
354,Slovakia,Central and Eastern Europe,40,6.09800005,,1.325393558,1.505059242,0.7127329111,0.2958174646,0.02421085164,0.1365444809,2.097776651,2017,,,6.177348412,6.018651687
355,Bahrain,Middle East and North Africa,41,6.086999893,,1.488412261,1.323110461,0.6531330347,0.5367469192,0.2570421696,0.1726684868,1.656149387,2017,,,6.178989068,5.995010719
356,Malaysia,Southeast Asia,42,6.084000111,,1.29121542,1.284646034,0.6187844276,0.4022649825,0.06560070813,0.4166089296,2.004448891,2017,,,6.179979637,5.988020585
357,Nicaragua,Latin America and Caribbean,43,6.071000099,,0.7372992039,1.28721571,0.6530959606,0.4475518465,0.1306879818,0.301674217,2.513930559,2017,,,6.1865836,5.955416598
358,Ecuador,Latin America and Caribbean,44,6.007999897,,1.000820398,1.286168814,0.6856362224,0.4551981986,0.1401346475,0.150112465,2.290352583,2017,,,6.105847675,5.910152119
359,El Salvador,Latin America and Caribbean,45,6.002999783,,0.9097844958,1.182125092,0.5960185528,0.4324525297,0.08998095989,0.07825798541,2.714593887,2017,,,6.108635122,5.897364443
360,Poland,Central and Eastern Europe,46,5.97300005,,1.291787863,1.44571197,0.699475348,0.5203421116,0.05930780619,0.1584659666,1.797722816,2017,,,6.053908341,5.892091758
361,Uzbekistan,Commonwealth of Independent States,47,5.971000195,,0.7864410877,1.54896915,0.4982726276,0.6582486629,0.2465282232,0.4159836471,1.816913605,2017,,,6.065537573,5.876462816
362,Italy,Western Europe,48,5.964000225,,1.395066619,1.444923282,0.8531443477,0.2564507127,0.02802809142,0.1727896482,1.813312054,2017,,,6.042736906,5.885263544
363,Russia,Commonwealth of Independent States,49,5.962999821,,1.281778097,1.469282389,0.5473493338,0.3737831116,0.03296288103,0.05226382241,2.205607414,2017,,,6.030274907,5.895724734
364,Belize,Western Europe,50,5.955999851,,0.907975316,1.081417799,0.450191766,0.5475093722,0.09658107162,0.2400156409,2.631955624,2017,,,6.197242318,5.714757385
365,Japan,East Asia,51,5.920000076,,1.416915178,1.436337829,0.9134758711,0.505625546,0.1637607366,0.1205727682,1.363223553,2017,,,5.990719445,5.849280708
366,Lithuania,Central and Eastern Europe,52,5.90199995,,1.314582348,1.473516107,0.6289499402,0.2342317849,0.01186564285,0.01016465668,2.228440523,2017,,,5.982669641,5.821330259
367,Algeria,Middle East and North Africa,53,5.872000217,,1.091864467,1.146217465,0.6175846457,0.2333358079,0.1460961103,0.069436647,2.567603827,2017,,,5.978286434,5.765714001
368,Latvia,Central and Eastern Europe,54,5.849999905,,1.260748625,1.404714942,0.6385669708,0.3257079124,0.07384272665,0.1530747861,1.993655205,2017,,,5.920263538,5.779736271
369,South Korea,East Asia,55,5.837999821,,1.401678443,1.128274441,0.900214076,0.2579216659,0.06328266859,0.2066743672,1.880378008,2017,,,5.922559028,5.753440613
370,Moldova,Commonwealth of Independent States,56,5.837999821,,0.7288706303,1.251825571,0.5894652009,0.2407290488,0.01009128615,0.2087791264,2.807808399,2017,,,5.908370838,5.767628803
371,Romania,Central and Eastern Europe,57,5.824999809,,1.217683911,1.15009129,0.6851583123,0.4570037425,0.004387900699,0.1335199177,2.176831484,2017,,,5.919694157,5.730305462
